mes,conglome,vivienda,hogar,parentesco,nivel_educativo,edad_jefe,sexo_jefe,pobreza,tamano_hogar,dominio,estrato,factor07,pobre_binario
07,005052,003,11,1,sup. univ. completa,57,Hombre,No Pobre,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,003,11,2,sup. univ. completa,52,Mujer,No Pobre,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,003,11,3,sup. univ. completa,25,Mujer,No Pobre,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,003,11,3,sup. univ. completa,24,Hombre,No Pobre,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,005,11,1,primaria completa,64,Hombre,No Pobre,3.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,005,11,2,primaria completa,55,Mujer,No Pobre,3.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,005,11,3,sup. no univ. incompleta,18,Hombre,No Pobre,3.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,010,11,1,primaria incompleta,68,Hombre,Pobre No Extremo,2.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,010,11,3,sup. no univ. incompleta,17,Mujer,Pobre No Extremo,2.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,013,11,1,primaria completa,59,Hombre,Pobre No Extremo,5.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,013,11,2,primaria incompleta,54,Mujer,Pobre No Extremo,5.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,013,11,3,primaria completa,29,Hombre,Pobre No Extremo,5.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,013,11,3,secundaria completa,23,Hombre,Pobre No Extremo,5.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,013,11,3,secundaria completa,18,Mujer,Pobre No Extremo,5.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,016,11,1,sup. no univ. incompleta,32,Hombre,No Pobre,2.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,016,11,3,primaria completa,12,Hombre,No Pobre,2.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,0
07,005052,058,11,1,primaria completa,57,Hombre,Pobre No Extremo,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,058,11,2,primaria completa,53,Mujer,Pobre No Extremo,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,058,11,3,secundaria incompleta,15,Hombre,Pobre No Extremo,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005052,058,11,3,sin nivel,10,Hombre,Pobre No Extremo,4.0,selva,"de 2,000 a 19,999 habitantes",505.76837158203125,1
07,005109,025,11,1,primaria completa,51,Hombre,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,025,11,3,secundaria incompleta,16,Hombre,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,026,11,1,secundaria completa,32,Mujer,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,026,11,3,primaria incompleta,12,Hombre,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,070,11,1,primaria completa,34,Hombre,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,070,11,6,sin nivel,74,Mujer,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,071,11,1,primaria incompleta,55,Hombre,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,071,11,2,primaria incompleta,52,Mujer,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,071,11,3,secundaria completa,20,Hombre,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,071,11,3,secundaria incompleta,15,Mujer,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,071,11,3,primaria completa,13,Mujer,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,071,11,3,secundaria completa,22,Hombre,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,071,11,4,secundaria incompleta,17,Mujer,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,071,11,5,primaria incompleta,10,Mujer,Pobre No Extremo,8.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,073,11,1,primaria incompleta,44,Hombre,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,073,11,2,secundaria incompleta,44,Mujer,No Pobre,2.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,074,11,1,primaria completa,49,Hombre,Pobre No Extremo,4.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,074,11,2,primaria incompleta,42,Mujer,Pobre No Extremo,4.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,074,11,3,secundaria incompleta,14,Hombre,Pobre No Extremo,4.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,074,11,3,primaria completa,12,Mujer,Pobre No Extremo,4.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,1
07,005109,108,11,1,primaria completa,54,Mujer,No Pobre,3.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,108,11,3,sin nivel,33,Hombre,No Pobre,3.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,108,11,3,sin nivel,21,Mujer,No Pobre,3.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,111,11,1,primaria completa,54,Hombre,No Pobre,1.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
07,005109,111,11,3,secundaria completa,26,Hombre,No Pobre,1.0,selva,Área de empadronamiento rural (aer) compuesto,68.5603256225586,0
