mes,conglome,vivienda,hogar,pobreza,tamano_hogar,dominio,estrato,factor07,pobre_binario
01,005009,012,11,No Pobre,2.0,sierra norte,"de 20,000 a 49,999 habitantes",149.20274353027344,0
01,005009,041,11,No Pobre,2.0,sierra norte,"de 20,000 a 49,999 habitantes",149.20274353027344,0
01,005009,098,11,No Pobre,6.0,sierra norte,"de 20,000 a 49,999 habitantes",149.20274353027344,0
01,005015,007,11,No Pobre,4.0,sierra norte,"de 20,000 a 49,999 habitantes",70.49259185791016,0
01,005015,019,11,No Pobre,4.0,sierra norte,"de 20,000 a 49,999 habitantes",70.49259185791016,0
01,005015,070,11,No Pobre,4.0,sierra norte,"de 20,000 a 49,999 habitantes",70.49259185791016,0
01,005015,085,11,No Pobre,4.0,sierra norte,"de 20,000 a 49,999 habitantes",70.49259185791016,0
01,005015,117,11,No Pobre,1.0,sierra norte,"de 20,000 a 49,999 habitantes",70.49259185791016,0
01,005032,014,11,No Pobre,4.0,selva,"de 20,000 a 49,999 habitantes",144.83636474609375,0
01,005032,047,11,No Pobre,2.0,selva,"de 20,000 a 49,999 habitantes",144.83636474609375,0
01,005032,064,11,No Pobre,2.0,selva,"de 20,000 a 49,999 habitantes",144.83636474609375,0
01,005032,096,11,No Pobre,2.0,selva,"de 20,000 a 49,999 habitantes",144.83636474609375,0
01,005032,114,11,No Pobre,3.0,selva,"de 20,000 a 49,999 habitantes",144.83636474609375,0
01,005049,003,11,No Pobre,4.0,selva,"de 20,000 a 49,999 habitantes",314.66998291015625,0
01,005049,009,11,No Pobre,7.0,selva,"de 20,000 a 49,999 habitantes",314.66998291015625,0
01,005049,019,11,No Pobre,6.0,selva,"de 20,000 a 49,999 habitantes",314.66998291015625,0
01,005049,024,11,No Pobre,4.0,selva,"de 20,000 a 49,999 habitantes",314.66998291015625,0
01,005049,028,11,No Pobre,1.0,selva,"de 20,000 a 49,999 habitantes",314.66998291015625,0
01,005049,035,11,Pobre No Extremo,3.0,selva,"de 20,000 a 49,999 habitantes",314.66998291015625,1
01,005062,019,11,No Pobre,4.0,sierra norte,"de 2,000 a 19,999 habitantes",202.730712890625,0
01,005062,034,11,No Pobre,4.0,sierra norte,"de 2,000 a 19,999 habitantes",202.730712890625,0
01,005062,052,11,No Pobre,3.0,sierra norte,"de 2,000 a 19,999 habitantes",202.730712890625,0
01,005062,067,11,No Pobre,3.0,sierra norte,"de 2,000 a 19,999 habitantes",202.730712890625,0
01,005062,078,11,No Pobre,3.0,sierra norte,"de 2,000 a 19,999 habitantes",202.730712890625,0
01,005062,093,11,No Pobre,2.0,sierra norte,"de 2,000 a 19,999 habitantes",202.730712890625,0
01,005063,025,11,No Pobre,4.0,sierra norte,"de 2,000 a 19,999 habitantes",133.4781494140625,0
01,005063,037,11,No Pobre,2.0,sierra norte,"de 2,000 a 19,999 habitantes",133.4781494140625,0
01,005063,050,11,Pobre No Extremo,5.0,sierra norte,"de 2,000 a 19,999 habitantes",133.4781494140625,1
01,005063,062,11,No Pobre,1.0,sierra norte,"de 2,000 a 19,999 habitantes",133.4781494140625,0
01,005063,077,11,No Pobre,3.0,sierra norte,"de 2,000 a 19,999 habitantes",133.4781494140625,0
